DOC Number,Race,Gender,Bucket_Age,Parish of Conviction,offenses
	00059282,W,M,70 - 80,Assumption,AGGRAVATED RAPE
	00059282,W,M,70 - 80,Assumption,AGGRAVATED RAPE
	00061155,B,M,80 - 90,Orleans,FIRST DEGREE MURDER
	00063239,B,M,70 - 80,Jefferson,FIRST DEGREE MURDER
	00063240,B,M,70 - 80,Jefferson,SECOND DEGREE MURDER
	00063240,B,M,70 - 80,Jefferson,AGG SEC DEG BATTERY
	00063757,B,M,80 - 90,West Feliciana,AGGRAVATED BATTERY
	00063757,B,M,80 - 90,West Feliciana,FIRST DEGREE MURDER
	00063757,B,M,80 - 90,West Feliciana,FIRST DEGREE MURDER
	00063811,B,M,70 - 80,Orleans,FIRST DEGREE MURDER
	00064363,B,M,70 - 80,Avoyelles,FIRST DEGREE MURDER
	00064363,B,M,70 - 80,Avoyelles,SELF-MUTILATION BY PRISONER
	00064802,B,M,70 - 80,Orleans,AGGRAVATED RAPE
	00064802,B,M,70 - 80,Orleans,AGGRAVATED RAPE
	00064957,B,M,70 - 80,Orleans,FIRST DEGREE MURDER
	00064957,B,M,70 - 80,Orleans,AGGRAVATED RAPE
	00065667,B,M,80 - 90,West Feliciana,FIRST DEGREE MURDER
	00065667,B,M,80 - 90,West Feliciana,FIRST DEGREE MURDER
	00065667,B,M,80 - 90,West Feliciana,FIRST DEGREE MURDER
	00065667,B,M,80 - 90,West Feliciana,FIRST DEGREE MURDER
	00065973,B,M,80 - 90,East Baton Rouge,AGGRAVATED RAPE
	00065990,B,M,80 - 90,Orleans,FIRST DEGREE MURDER
	00065990,B,M,80 - 90,Orleans,FIRST DEGREE MURDER
	00068267,B,M,70 - 80,St. Tammany,AGGRAVATED RAPE
	00068493,B,M,70 - 80,Lafourche,AGGRAVATED RAPE
	00068556,B,M,70 - 80,Caddo,AGGRAVATED RAPE
	00068690,B,M,60 - 70,St. Martin,SECOND DEGREE MURDER
	00068690,B,M,60 - 70,St. Martin,AGGRAVATED RAPE
	00068991,B,M,70 - 80,Lafourche,AGGRAVATED RAPE
	00069610,B,M,70 - 80,St. Tammany,AGGRAVATED RAPE
	00069610,B,M,70 - 80,St. Tammany,AGGRAVATED RAPE
	00070014,W,M,70 - 80,Morehouse,SIMPLE BURGLARY
	00070014,W,M,70 - 80,Morehouse,AGGRAVATED RAPE
	00070014,W,M,70 - 80,Morehouse,FIRST DEGREE MURDER
	00070713,B,M,60 - 70,Orleans,FIRST DEGREE MURDER
	00070713,B,M,60 - 70,Orleans,AGGRAVATED RAPE
	00070713,B,M,60 - 70,Orleans,AGGRAVATED RAPE
	00070713,B,M,60 - 70,Orleans,AGGRAVATED RAPE
	00070786,B,M,70 - 80,Bossier,AGGRAVATED BURGLARY
	00070786,B,M,70 - 80,Bossier,FIRST DEGREE MURDER
	00070786,B,M,70 - 80,Bossier,ARMED ROBBERY
	00070786,B,M,70 - 80,Bossier,ARMED ROBBERY
	00070786,B,M,70 - 80,Bossier,THEFT $500 OR MORE
	00071045,B,M,70 - 80,East Baton Rouge,MANSLAUGHTER
	00071045,B,M,70 - 80,East Baton Rouge,FIRST DEGREE MURDER
	00071088,B,M,70 - 80,Orleans,ARMED ROBBERY
	00071088,B,M,70 - 80,Orleans,ARMED ROBBERY
	00071088,B,M,70 - 80,Orleans,AGGRAVATED RAPE
	00071736,B,M,80 - 90,Ascension,SECOND DEGREE MURDER
	00071736,B,M,80 - 90,Ascension,SECOND DEGREE MURDER
	00071868,B,M,70 - 80,Avoyelles,FIRST DEGREE MURDER
	00072486,B,M,80 - 90,Iberville,ARMED ROBBERY
	00072486,B,M,80 - 90,Iberville,ARMED ROBBERY
	00072568,B,M,70 - 80,Orleans,FIRST DEGREE MURDER
	00072867,B,M,70 - 80,Orleans,FIRST DEGREE MURDER
	00072867,B,M,70 - 80,Orleans,AGGRAVATED RAPE
	00072867,B,M,70 - 80,Orleans,S-ESCAPE TYPE I
	00072879,B,M,60 - 70,Orleans,MANSLAUGHTER
	00072879,B,M,60 - 70,Orleans,SIMPLE BURGLARY
	00072879,B,M,60 - 70,Orleans,SECOND DEGREE MURDER
	00072912,W,M,70 - 80,Jefferson,AGGRAVATED BATTERY
	00072912,W,M,70 - 80,Jefferson,AGGRAVATED RAPE
	00073082,W,M,80 - 90,Lafayette,FIRST DEGREE MURDER
	00073167,W,M,70 - 80,Orleans,S-ESCAPE AGG-ESCAPE
	00073167,W,M,70 - 80,Orleans,FIRST DEGREE MURDER
	00073428,W,M,80 - 90,Caddo,AGGRAVATED RAPE
	00073443,B,M,70 - 80,East Baton Rouge,AGGRAVATED RAPE
	00073857,B,M,80 - 90,Jefferson,FIRST DEGREE MURDER
	00073904,B,M,70 - 80,Sabine,SECOND DEGREE MURDER
	00073904,B,M,70 - 80,Sabine,SELF-MUTILATION BY PRISONER
	00073941,B,M,60 - 70,St. James,SECOND DEGREE MURDER
	00074334,B,M,60 - 70,St. Landry,SECOND DEGREE MURDER
	00074358,B,M,70 - 80,Orleans,FIRST DEGREE MURDER
