expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
9/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/16/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,1.74,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/4/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
11/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
12/2/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
12/31/2021,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/27/2021,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/2021,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/2021,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/21/2021,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/31/2021,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,100,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
1/18/2022,NationBuilder - Stripe,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,159,Albert  Brian Citizens for,Media,Media - Website Development,NA,Debit Card,NA,Electoral,Website Montlhly Fee,NA
2/17/2022,NationBuilder - Stripe,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,159,Albert  Brian Citizens for,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
9/3/2021,ActBlue  LLC,366 Summer Street  Somerville  Massachusetts 02144,Business/Group/Organization,91.5,Taylor  Kym Friends for,Media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
11/8/2021,Metropolitan Washington Council/AFL CIO,815 16th Street  N.W.  Washington  District Of Columbia 20006-4101,Business/Group/Organization,250,Taylor  Kym Friends for,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,NA,NA
4/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/7/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,80,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/8/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
